,出现次数,出现频率 (%)
exp_マーケティング,378,30.17
exp_データ分析,293,23.38
exp_機械学習,162,12.93
exp_英語,143,11.41
exp_クラウド,126,10.06
exp_Python,124,9.9
exp_AWS,84,6.7
exp_生成AI,78,6.23
exp_SQL,74,5.91
exp_要件定義,67,5.35
exp_AI,58,4.63
exp_R,47,3.75
exp_データサイエンス,43,3.43
exp_Tableau,40,3.19
exp_GCP,39,3.11
exp_Azure,38,3.03
exp_BIツール,36,2.87
exp_Java,22,1.76
exp_ETL,21,1.68
exp_統計解析,21,1.68
exp_設計,18,1.44
exp_自然言語処理,18,1.44
exp_DWH,18,1.44
exp_深層学習,16,1.28
exp_ディープラーニング,14,1.12
exp_Power BI,13,1.04
exp_LLM,10,0.8
exp_PyTorch,8,0.64
exp_画像処理,8,0.64
exp_TensorFlow,8,0.64
exp_TOEIC,5,0.4
exp_C++,4,0.32
exp_scikit-learn,4,0.32
exp_MATLAB,2,0.16
exp_ビジネスコミュニケーション,2,0.16
exp_信号処理,1,0.08
